Name,Flex,Frame,Shaft,Joint,Length,Weight / Grip,Stringing Advice,Color(s),Made In,Item Code
ASTROX 88 S PRO,STIFF,"HM Graphite, CFR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE, Ultra PE Fiber",NEW Built-in T-Joint,5 mm longer,"4U (Avg. 83g) G5,63U (Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Silver / Black,Japan,3AX88S-P
ASTROX 88 S TOUR,STIFF,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE",Built-in T-Joint,5 mm longer,"4U (Avg. 83g) G5,63U (Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Silver / Black,,3AX88S-T
ASTROX 88 S GAME,Medium,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NANOMESH NEO",Built-in T-Joint,5 mm longer,"4U (Avg. 83g) G5,6",4U: 20 - 28 lbs,Silver / Black,,3AX88S-G
ASTROX 88 D PRO,STIFF,"HM Graphite, CFR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE, Ultra PE Fiber",NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,63U (Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Black / Silver,Japan,3AX88D-P
ASTROX 88 D TOUR,STIFF,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,63U (Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Black / Silver,,3AX88D-T
ASTROX 88 D GAME,Medium,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6",4U: 20 - 28 lbs,Black / Silver,,3AX88D-G
ASTROX 88 PLAY,Medium,Graphite,Graphite,,10 mm longer,4U (Avg. 83g) G5,4U: 20 - 28 lbs,Black / Silver,,3AX88-PL
NANOFLARE NEXTAGE,Medium,"HT Graphite, Nanocell NEO",Graphite,Built-in T-Joint,10 mm longer,4U (Avg. 83g) G5,20 - 28 lbs,White / Gray,,NF-NX
ASTROX 3 DG HF,Hi-Flex,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 35 lbs,BLUE/WHITE,,AX3DG HF
ASTROX 3 DG ST,STIFF,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 35 lbs,BLACK/BLUE,,AX3DG ST
NANOFLARE 800 PRO,STIFF,"HM Graphite, M40X, SUPER HMG, Copper","HM Graphite, SUPER HMG,  ULTRA PE FIBER","New Built-in T-Joint, Graphite",10 mm longer,"4U (Avg. 83g) G5,6,3U(Avg. 88g) G4,5,6","4U: 20 - 28 lbs,3U: 21 - 29 lbs",Deep Green,,NF-800P
NANOFLARE 800 TOUR,STIFF,"Graphite, Nanocell NEO, HM Graphite, Copper","HM Graphite, SUPER HMG","Built-in T-Joint, Graphite",10 mm longer,"4U (Avg. 83g) G5,6,3U(Avg. 88g) G4,5,6","4U: 20 - 28 lbs,3U: 21 - 29 lbs",Deep Green,,NF-800T
NANOFLARE 800 GAME,Medium,"Graphite, Nanocell NEO, HM Graphite, Copper",Graphite,Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6",20 - 28 lbs,Deep Green,,NF-800G
NANOFLARE 800 PLAY,Medium,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G5,6",20 - 28 lbs,Deep Green,,NF-800PL
NANOFLARE 002 CLEAR,Hi-Flex,HT Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 30 lbs,Yellow,China,NF-002C
NANOFLARE 002 FEEL,Hi-Flex,HT Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 30 lbs,Magenta,China,NF-002F
NANOFLARE 002 ABILITY,Hi-Flex,HT Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 30 lbs,Lime,China,NF-002A
NANOFLARE 1000 PLAY,Medium,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G5,6",4U: 20 - 28 lbs,Lightning Yellow,,NF-1000PL
NANOFLARE 1000 GAME,Medium,,Graphite,Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6",4U: 20 - 28 lbs,Lightning Yellow,,NF-1000G
NANOFLARE 1000 TOUR,Extra Stiff,"HM Graphite, Nanocell NEO, EX-HYPER MG",HM Graphite,Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6,3U(Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Lightning Yellow,,NF-1000T
NANOFLARE 1000 Z,Extra Stiff,"HM Graphite, NANOMETRIC DR, M40X, EX-HYPER MG","HM Graphite, Ultra PE FIBER",NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6,3U(Avg. 88g) G4,5,6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Lightning Yellow,,NF-1000Z
ASTROX 77 PRO,Medium,"HM Graphite, Flex Fuse, Tungsten","HM Graphite, NamdTM, Ultra PE Fiber",NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6 3U (Avg. 88g) G4,5,6",4U: 19 - 27 lbs3U: 20 - 28 lbs,High orange,Japan,AX77-P
ASTROX 77 TOUR,Medium,"HM Graphite, LIGHT Feel CARBON NEO, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6 3U (Avg. 88g) G4,5,6","4U: 20 - 28 lbs,3U: 21 - 29 lbs",High orange,,AX77-T
ASTROX 77 PLAY,Hi-Flex,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G5,6",4U: 20 - 28 lbs,High Orange,,AX77-PL
ASTROX 100ZZ,Extra Stiff,"HM Graphite, Namd, Tungsten, Black Micro Core, Nanometric","HM Graphite, NamdTM",NEW Built-in T-Joint,10 mm longer,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"Kurenai, Dark Navy",Japan,AX100ZZ
ASTROX 100 TOUR,Extra Stiff,"HM Graphite, Nanomesh Neo, Tungsten","HM Graphite, NamdTM",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Kurenai,,AX100T
ASTROX 100 GAME,Medium,"HM Graphite, Nanomesh Neo, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Kurenai,,AX100G
ASTROX 99 PRO,STIFF,"HM Graphite, Namd, VOLUME CUT RESIN, Tungsten","HM Graphite, NamdTM",NEW Built-in T-Joint,10 mm longer,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"White Tiger, Cherry Sunburst",Japan,AX99-P
