Name,Flex,Frame,Shaft,Joint,Length,Weight/Grip,Stringing advice,Color(s),Made In,Item Code
ASTROX 88 S PRO,STIFF,"HM Graphite, CFR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE, Ultra PE Fiber",NEW Built-in T-Joint,5 mm longer,,,Silver / Black,Japan,3AX88S-P
ASTROX 88 S TOUR,STIFF,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE",Built-in T-Joint,5 mm longer,,,Silver / Black,,3AX88S-T
ASTROX 88 S GAME,Medium,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NANOMESH NEO",Built-in T-Joint,5 mm longer,,,Silver / Black,,3AX88S-G
ASTROX 88 D PRO,STIFF,"HM Graphite, CFR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE, Ultra PE Fiber",NEW Built-in T-Joint,10 mm longer,,,Black / Silver,Japan,3AX88D-P
ASTROX 88 D TOUR,STIFF,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NamdTM FLEX FORCE",Built-in T-Joint,10 mm longer,,,Black / Silver,,3AX88D-T
ASTROX 88 D GAME,Medium,"HM Graphite, CSR, Tungsten","HM Graphite, 2G-NANOMESH NEO",Built-in T-Joint,10 mm longer,,,Black / Silver,,3AX88D-G
ASTROX 88 PLAY,Medium,Graphite,Graphite,,10 mm longer,,,Black / Silver,,3AX88-PL
NANOFLARE NEXTAGE,Medium,"HT Graphite, Nanocell NEO",Graphite,Built-in T-Joint,10 mm longer,,,White / Gray,,NF-NX
ASTROX 3 DG HF,Hi-Flex,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,BLUE/WHITE,,AX3DG HF
ASTROX 3 DG ST,STIFF,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,BLACK/BLUE,,AX3DG ST
NANOFLARE 800 PRO,STIFF,"HM Graphite, M40X, SUPER HMG, Copper","HM Graphite, SUPER HMG,  ULTRA PE FIBER","New Built-in T-Joint, Graphite",10 mm longer,,,Deep Green,,NF-800P
